Mar 18 \'15,COLUMBUS,4,EDMONTON,3,SO,C. McElhinney,A. Wennberg,20,0,1,14,47,1,6,4,"16,839"
Mar 18 \'15,CHICAGO,1,NY RANGERS,0,,S. Darling,B. Richards,31,0,2,4,25,0,2,4,"18,006"
Mar 18 \'15,LOS ANGELES,2,ANAHEIM,3,OT,J. Gibson,R. Kesler,31,1,3,8,26,0,3,8,"17,174"
Mar 17 \'15,NY ISLANDERS,1,CHICAGO,4,,C. Crawford,J. Toews,39,0,2,2,30,0,1,17,"22,080"
Mar 17 \'15,MONTREAL,3,FLORIDA,2,,D. Tokarski,P. Subban,25,0,3,10,43,0,4,10,"18,245"
Mar 17 \'15,BUFFALO,2,BOSTON,1,SO,A. Lindback,T. Ennis,24,1,2,4,45,0,2,4,"17,565"
Mar 17 \'15,PHILADELPHIA,1,VANCOUVER,4,,E. Lack,A. Burrows,28,0,2,9,35,0,1,11,"18,870"
Mar 17 \'15,ST LOUIS,4,CALGARY,0,,B. Elliott,A. Steen,26,0,1,7,25,0,1,7,"19,289"
Mar 17 \'15,SAN JOSE,2,WINNIPEG,5,,O. Pavelec,A. Ladd,40,0,3,18,22,2,3,8,"15,016"
Mar 17 \'15,MINNESOTA,3,NASHVILLE,2,OT,D. Dubnyk,M. Dumba,21,0,0,8,27,0,4,0,"17,209"
Mar 17 \'15,OTTAWA,2,CAROLINA,1,OT,A. Hammond,M. Stone,33,1,3,13,36,0,2,15,"13,469"
Mar 17 \'15,PITTSBURGH,0,NEW JERSEY,2,,C. Schneider,J. Josefson,35,0,0,6,19,0,2,2,"15,848"
Mar 16 \'15,ARIZONA,0,LOS ANGELES,1,,J. Quick,A. Andreoff,25,0,2,6,35,0,3,4,"18,230"
Mar 16 \'15,TORONTO,1,EDMONTON,4,,B. Scrivens,J. Eberle,29,1,5,32,32,2,6,10,"16,839"
Mar 16 \'15,MONTREAL,2,TAMPA BAY,4,,B. Bishop,V. Hedman,34,1,4,25,34,2,4,25,"19,204"
Mar 16 \'15,WASHINGTON,4,BUFFALO,3,SO,B. Holtby,E. Kuznetsov,38,2,2,8,33,1,3,6,"19,070"
